,ID,Input,Augment
1525076,2176811388,It's easier to build boys than to mend men.  Heard that this morning on the radio - not sure who coined that quote but it's quite true.,"It is easier to build boys than to repair men. I heard this morning on the radio - I don't know who invented this quote, but it's quite true."
1240539,1993814952,"@WeblogofWeeds  Awww, glad he's doing so well!! Thanks for posting, will continue to follow updates on him!! ","@Weblogofweeds awww, happy that he is doing so well !! Thank you for publishing, will continue to follow the updates on him !!"
552329,2203374056,@michellerperry smut junkies doing a little set before rasco omali,@Michellerperry Smut Junkies making a small set before Rasco Omali
433523,2064977783,@I_Love_titties i know! was so upset....and they forgot my sauce!,@I_love_itties I know! was so upset ... and they forgot my sauce!
546239,2201696133,first tweet! i lost my checkbook,First tweet! I lost my checkbook
694253,2252944406,Dag... I was hoping to so some photoggin.... and handin out biz cards there   Don't worry... rain doesn't stop my hustle...I keep a plan B,Dag ... so I hoped a little photoggin .... and put back biz cards there don't worry ... the rain does not stop my heating ... I keep a plan B
592886,2218089277,I wish it would rain. It's so darn hot.,I wish it rains. It is so hot.
1596419,2192652376,Wimbledon is approaching,Wimbledon approach
1365405,2049951237,"@Loman_15 Ocean City, Md. has the best of the best beach ","@ LOMAN_15 OCEAN CITY, MD. To the best of the best beach"
510945,2189775761,Going to do study for my biology test!,I will study for my biology test!
1450600,2062955521,@prasand No worries - and thank you for the heads up; I will definately test that out,@prasand no worries - and thank you for the advances; I will certainly test this
193825,1970152195,too early,too early
598385,2219512343,Hayfever is such a bitch!!! Why oh why piriteze are u no longer working,Hay cold is such a slut !!! Why oh why pirotee you no longer work
733879,2264420735,OMG O:  its fathers day!!! DAMN!     geee i hate waking up,OMG O: His fathers !!! SLIM! Geee I hate wake up
1512226,2175197731,"urgh, school. oh the joys of being a teen ","Urgh, school. Oh the joys of being a teenager"
95222,1791786828,@ST_Rachel ARGH!  I was sooo looking forward to seeing you,@ST_Rachel Argh! I was so looking forward to seeing you
1200731,1985543527,@emanney I believe you may be having that effect on me already,@Emanney I think you may have this effect on me already
1494378,2069693258,@simonrim haha touchÃ©. Biggest baby ever at 6'7&quot; tall and it's so true. I'll just standby with the mute button in future.,@Simonrim haha ​​touché. The biggest baby of all time at 6'7 & quot; Large and it's so true. I'm just going to watch with the silent button in the future.
46804,1677496379,Wish I went to see Joakim last night. Poor decision making,I would have liked to see Joakim last night. Bad decision -making
1333695,2016498742,"Oh! WOOOOO! QUEENSLAND!  28-18 Naww, Sorry Nsw! Hope you win the next game..so the 3rd one is more intriguing .. http://tinyurl.com/plsass","Oh! Woooooo! Queensland! 28-18 Naww, Sorry NSW! I hope you win the next game ... So the 3rd is more intriguing .. http://tinyurl.com/PLSASS"
52060,1679274896,Getting Dressed! Another weekend and I couldn't get up early!!!,Get dressed! Another weekend and I couldn't get up early !!!
812913,1548642950,@sarahprout great piece...thanks for sharing,@Sarahprout Super Piece ... Thank you for sharing
766179,2299782731,Still has stuff that needs putting away!! Not in the mood for more clearing up!!,Still have things that have to put away !! No mood for more cleaning !!
731785,2263913386,This time last week me and Lauren were sat waiting for our coach to London,This time last week
1487302,2068256602,I am so glad to finally be home. We got some great pics. Going to see Syd play catcher on Thursday,I'm so happy to be at home. We had great photos. I will see Syd play receiver on Thursday
1378595,2052028091,"@jaymes C'mon, they didn't bring it personally - or did they - keeps them indisposable.  We used the hashtag to tweet during the show ","@Jaymes c'mon, they did not bring it personally - or they maintain them - indisposable. We used the hashtag to tweet during the show"
831178,1557412399,"@dougdorman ..Hey, Doug! Glad to see you here! ","@dougdorman ..hey, Doug! Happy to see you here!"
1145073,1977718983,These are the moments I want to last forever,These are the moments I want to last forever
667424,2245600341,"it makes me sad when I think about all the people I speak to online (a lot, lol) and the fact that I will most likely never meet them IRL ","It makes me sad when I think of all the people I talk to online (a lot, lol) and the fact that I will probably never meet Irl"
1225221,1990656498,"we're here to bring you to the moon, just stick with us ","We are here to bring you to the moon, stay with us"
191540,1969653317,I HAVE TO FIND A NEW POWER CORD FOR MY LAPTOP TOMORROW ITS ALMOST DEAD SO I CAN BARELY POST ANYTHING ANYWHERE,"I have to find a new power cord for my laptop tomorrow, it's almost dead, so I can barely post anything anywhere"
1191736,1983951192,@mileycyrus i voted for you! i hope u win!!!! and Taylor Swift too!!!,@Milecyyrus I voted for you! I hope you win !!!! And Taylor Swift too !!!
1207619,1988724277,"@sroxy Bacon cheeseburger, Jumbo Jack, curly fries and bacon/cheese potato wedges. We splurged. ","@Sroxy bacon cheeseburger, jumbo jack, curly fries and potato quarters with bacon / cheese. We made follies."
1029218,1932743510,@BigCitySunshine yesh smiley are cute  see!,@Bigcitysunshine Yesh Smiley is cute see!
576595,2211859787,Hustlin in rainy Calgary,Hustlin in Rainy Calgary
23904,1557849816,@Pamela010474 and I had some crazy ass dream too..thats what happened this morning with my 2 hours of sleep,@ Pamela010474 and I had a crazy ass dream too ... what happened this morning with my 2 hours of sleep
757136,2295211813,aww man! Ed McMahon died this morning!  http://bit.ly/WNX2I  (register to post to the forum!) xxx,Aww guy! Ed McMahon died this morning! http://bit.ly/wnx2i (Register to publish on the forum!) XXX
325028,2006887895,I've come to the conclusion that the vast majority of the academically-trained HATE my writing style. Wooden prose! Crap! Un-publishable!,I came to the conclusion that the vast majority of school forms hate my writing style. Wooden prose! Crap! New!
221398,1976818974,Mandy i miss you!,Mandy I miss you!
1215656,1989561639,"Yay, my teas from @adagioteas arrived  (via http://ff.im/3sglm)","Yay, my teas from @adagioteas have arrived (via http://ff.im/3sglm)"
237094,1980133148,"so i did no homework this weekend, im so fucked  and i have an early tommorow. hello 7:50 class :'(","So I did not do this weekend, I am so fucked and I have a Tommorow start. Hello 7:50 Class: '("
814065,1550708120,"Kids gone, husband gone, house to myself, life is good. ","The children left, the husband left, the house for me, life is beautiful."
1280315,2001625267,@lisanathema wellcome back. tell us how was the gig....every details,@Lisannathema Wellcome Back. Tell us how the concert ... all the details
1204582,1986330792,Actually going to bed now  Nite peeps,Go to bed now nite peeps
767219,2300387961,I give up  @squarespace,I give up @squarespace
1471587,2065234565,@mikeredding  I knew you'd Like,@Mikeredding I knew you would like
1280585,2001653913,@KyNamDoan see if you can get the attention of someone in charge. its  ruining my adding of people user experience. and others.  ni ni!,@KynamDoan See if you can draw someone in charge. This ruins my addition of people user experience. and others. neither nor!
510781,2189738833,i feel like listening to Deathstars this morning ... i want a  band tee sooo baddd,I want to listen to the Deathstars this morning ... I want a Tee Sooo Baddd group
1428288,2059534123,@iLoveNickJ4LIFE Uhmmm... colon kleaner? lololol JK JK  the jonas brothers!  ~,@ ilovenickj4life Uhmmm ... Colon Kleaner? Lololol JK JK Les Jonas Brothers! ~
470468,2176429086,cáº£ ngÃ y chÆ¡i foozball.. cháº±ng lÃ m viá»c gÃ¬,cáº £ ngé y chæ¡i foozball .. cháº ± ng lã m viá »‡ c
1326466,2015258387,"@VVbrown I really love the new single, the most played on my itunes. I really hope it goes to No.1 ","@Vvbrown I really like the new single, most played on my iTunes. I really hope it will go to No. 1"
1530429,2177801295,"@darlingwind oh no, biked uphill.  And then back down, which is the fun part ","@darlingwind oh no, by bike. Then back, which is the funny part"
31648,1564069020,@benpeers Yay for leeds! Where I am leaving tomorrow,@Benpeers Yay for Leeds! Where I go tomorrow
335683,2013841743,phoning with patriciaa we miss ATL,Phoning with Patriciaa we miss ATL
572915,2209597553,"Still feeling like a sieve, Sick as a dog and not even Left4Dead seems to be helping ","Always feel like a sieve, sick as a dog and not even left4dead seems to help"
1079951,1968153069,@sarahkaminsky Thank you kindly. I have my moments.,@Sarahkaminsky thank you with kindness. I have my moments.
183284,1967381798,The sun was out and now it is gone  and i am cold again D=,The sun was lying and now it is gone and I'm again cold D =
178558,1965998793,"@Tracybelle I'd hang with you, but... Tennessee. ","@Tracybelle I would hang out with you, but ... Tennessee."
522310,2192716625,@klhotzky not yet. We just finished watching the third season. We're trying to catch up. AND we don't get showtime..,@Klhotzky not yet. We have just finished watching the third season. We try to catch up. And we don't get the showtime.
1379604,2052149530,@carlkobe greetings!,@Carlkobe greetings!
1472134,2065330998,@idleeccentric At least I got paid for it all.,@idleeccentric at least I was paid for all this.
682143,2249917575,@kaylyn17 i miss you to death  text me as soon as you cannnnnnn!,@ kaylyn17 I miss you to death send me a text as soon as you cannnnn!
885009,1686409682,"sunday afternoon bbq with friends, nice to kick back and relax.  And have someone else cook great food .... now that's got to be good ","BBQ Sunday afternoon with friends, pleasant to relax and relax. And that someone else's good food cooking ... now it must be good"
1434847,2060701062,"@Machine15 well even though it's not till nov, you'll have to pick me up a tshirt ",@ Machine15 well even if it is in November
917526,1753500295,@MarcBmusic Pineapple rocks bud,@Marcbmusic Pineapple Rocks Bud
505118,2188310728,@riztuazon its because exams okay  i miss you if you didnt know... AND YOURE LEAVING,@riztuazon is because I miss the Oky exams if you didn't know ... and you go
355550,2043964333,is stuck in the traffic at Progress Road,is stuck in traffic on Progress Road
1543022,2181250237,Cara: right time to go to my nans!  Xx,Cara: The right time to go to my nans! XX
1227139,1990954076,wrist aint even hurting,The wrist does not even hurt
116862,1827527766,"feeling down today, cant find anything to wear that makes me look good for a wedding ","Feeling depressed today, I can't find anything to wear that makes me look good for a wedding"
1219839,1989990700,"not sure why im up @ 6:30 when I didn't hit the sheets till like 3, but w/e .. early morning law&amp;order &amp; nickelodeon toons .. yeeesss!   ","I don't know why I'm up @ 6:30 am when I only hit sheets like 3, but W / E .. Law Morning Law & amp; Order & amp; Nickelodeon toons .. Yeeesss!"
55951,1685250266,i love havin my momma here! i miss texas too much,I love having my mom here! I miss Texas too much
1581919,2190246600,"is getting ready to go and see the doc...if he OK's, will mostly book the Leh trip, ","Prepares to go see the doc ... If it is OK, mainly reserves Leh's trip,"
177048,1965514680,"Anton!Chekov has his own youtube?! Where have you been all my life?! Well, at least til I 1st saw ST XI a few wks ago, no recent updates ","Anton! Chekov has his own Youtube?! Where were you, throughout my life?! Well, at least until I saw St Xi a few weeks ago, no recent updates"
1334995,2016871939,@bhesters Were you in a car accident? Glad you're alright!,@Bhesters were you in a car accident? Glad you are well!
778632,2322735061,i miss my friends,I miss my friends
125989,1834426525,"@foxyzombie i got it from Ananya. She was the one who was sick last week, now it's me ","@Foxyzombie I got it from Ananya. She was she who was sick last week, now it's me"
19637,1556900378,@SusefromPeaSoup I know - I asked Erin if she remembered any boy's ones - Yep - skulls,@Susefrompeasoup I know - I asked Erin if she remembered those of a boy - yes - skulls
726097,2262490232,Is hoping Jhett is ok after hurting his arm,Hope Jhett is going well after hurting the arm
1027767,1932511724,@brianchouston http://twitpic.com/60x77 - We could watch Sav forever...and will!,@brianchouston http://twitpic.com/60x77 - we could watch after -sales service forever ... and will!
52026,1679266659,didn't get a ticket for Green Day...,I did not get a ticket for Green Day ...
144696,1882024257,Off to work and a non stop no fun weekend.,Off to work and an endlessly endless weekend.
358340,2045236545,@joe3117 sad that i won't see you this weekend,@ joe3117 sad not to see you this weekend
1591767,2191617347,@SandiMon are you asleep yet? are you well yet?     it sucks you're sick - going to work tomorrow?,@Sandimon Are you still sleeping? Are you still good? Does it fear that you are sick - will it work tomorrow?
11568,1551419202,It sucks that my print ad didn't push through. That would've been my first stint at modeling!,It fears that my printed announcement has not pushed. It would have been my first visit to modeling!
739439,2265730987,"breakfast with the fam, whenever they get here, then i have to say goodbye to the love ","Breakfast with the family, every time they arrive here, so I must say goodbye to love"
777398,2322409810,@danimercado I second that.  BLAAAAHH.,@danimercado I secondly. Blaaaahh.
1213728,1989380550,@Alegrya  It probably wouldn't have occurred to me either if it were me that was can openerless,"@Alegrya, it probably did not come to mind if it was me who was without openness"
70506,1693676717,@Katherineie  probably! we can just move seats if they're crap!,@Katherineie probably! We can just move seats if they are shit!
278636,1991579686,@evvss aww  we'll talk about it 2mrw with @nabillandriana okay...you be good  http://myloc.me/2h4v,@Evvss awww we will talk about it 2mrw with @nabillriana ok ... you are good http://myloc.me/2h4v
952578,1824485496,Star Trek is gooooooooooooooood !,Star Trek is goooooooooooooooood!
780075,2323084766,"I feel so bad, so stupid and so dumb. ","I feel so bad, so stupid and so stupid."
1381714,2052395352,@Yasowhat I know!!! probably do alot of nothing ...or do u have any suggestions?,@Yasowhat I know !!! Probably a lot of nothing ... or do you have any suggestions?
894012,1692099216,@thereisaseason A belated thank you for the #followfriday  mention.,@Thereisaseason a late thank you for the mention #FOLLOWFRIDAY.
364984,2048390795,well I guess it is time to wash my big ass hair...,"Well, I guess it's time to wash my hair of big ass ..."
864633,1677327631,Clean my house,Clean my house
136005,1880010529,@AlexOrman1 something in the air - I feel one coming on too,@ Alexorman1 something in the air - I feel a
1284391,2002035609,@khouryrt it also fascinates the rest of the twitterers,@Khouryrt He also fascinates the rest of the twitters
488346,2182547844,Yet another massive coffee fail,Still another massive coffee fails
1465476,2064359779,@nevilledunn can't say I've ever had dick for dinner. What's it like? Do you think my family would go for it?,@Neviludunn cannot say that I have never had a cock for dinner. What does it look like? Do you think my family would go for that?
339055,2014563063,"Apparently the ending of the film is a lot more uplifting, leaving out the tragic end of the book. ","Apparently, the end of the film is much more edifying, leaving aside the tragic end of the book."
1504183,2072130094,"@ZackTeibloom k, guess I'm a douchebag then  although, I'm more of a Fisher fan myself haha","@Zackteibloom k, I suppose that I am a showerbag then even if, I am more a fan of fisherman myself haha"
1508762,2174706748,"@davissears hahaha, auw, well that's cute  we need to hang out sooooon.","@davissears hahaha, auw, well it's cute, we have to spend so much time."
1321033,2014651021,@osgrid if it was i would be asking you to host mine on it lol,@osgrid if it was I would ask you to welcome mine on lol
1349037,2045127642,@Sheffman2 Thank you for the &quot;follow&quot;,"@ Sheffman2 Thank you for the ""follow -up"""
881856,1685872992,Everyone who reads this; describe me in one word  haha I'm so bored,All those who read this; Describe me in a word haha ​​I bored it so much
560894,2205293849,i need to get a new phone charger because mine won't charge at all anymore,I need to get a new phone charger because mine will no longer charge at all
770045,2301856758,3 school projects for next week.,3 school projects for next week.
938046,1793354231,@flipperville Can you get me a cup whilst you're at it?,@Fliserville can you get me a cup while you are there?
698953,2254292457,i guess i spoke too soon. he started running a fever at the party and we had to leave.,I guess I spoke too early. He started doing fever at the party and we had to leave.
843002,1563793971,"just downloaded some fun new stuff for my ipod, yay. now it's sleep time. ","I just downloaded new funny things for my iPod, Yay. Now it's sleep time."
1057757,1962799110,#followfriday Follow @digiprod if you love when Tweeters who aren't afraid to speak their opinion also great content without all the BS.,#FOLLOWFRIDAY Follow @digiprod if you like when tweeters who are not afraid to speak their opinion also an excellent content without all BS.
935390,1792743877,"@alexdrovna Hey! Hey! Hey! Easy with the spoilers, I'm still working ","@alexdrovna hey! Hey! Hey! Easy with spoilers, I always work"
1189845,1983606500,Singing karaoke with my sister. Hanging with the family.,Sing karaoke with my sister. Suspended with the family.
537769,2198872460,@mrs_mcsupergirl Why shouldn't you have opened tweetdeck? At least you can!,@Mrs_mcsupergirll why shouldn't you have opened tweetdeck? At least you can!
743975,2267003997,At work...I'd rather be spending another day with Princess...but I gotta work.,At work ... I prefer to spend another day with the princess ... but I have to work.
1474554,2065750491,"@DMindykowski Nice to meet you, too!  Shawn is pretty amazing and talented himself   I will be at the next @BayCityAfter6, see you there!","@Dmindykowski delighted to meet you too! Shawn is quite incredible and talented, I will be at the next @ bayayfter6, see you soon!"
153604,1932996065,Why is it that even a friendship with someone of the opposite sex gets...complicated?   No more drama.,Why is even a friendship with someone of the opposite sex becomes ... complicated? No more drama.
741693,2266336044,Sangakarra is Gay he refuses to go to the Disco ..   #PakCricket,"Sangakarra is gay, he refuses to go to the nightclub .. #pakcricket"
788819,2325232879,I can tell this is going to be the worst day of my life,I can say it's going to be the worst day of my life
1344233,2039855286,@eotdu haha i say haha in like everything i do so HAH! night,@Eotdu haha ​​I say haha ​​like everything I do hah! night
1510522,2174961813,Trying to work. In serious need of coffee,Try to work. In a serious need for coffee
1146721,1977971084,@KChenoweth  Should we call you Dr. Chenoweth now?,@KcheNoweth should we call you Dr Chenoweth now?
573060,2209631385,"I want a real broadband connection.  Waaaaaaaaaaaaaaaaa!!!!  ..... OK, rant's over...for now...","I want a real broadband connection. Waaaaaaaaaaaaaaaaaa !!!! ..... ok, diatriber is finished ... for now ..."
1280517,2001645101,@yulianasari  MEE TOO&lt;3333333 -happy dancing-  what photo? what are u doing now?,@yulianasari me also & lt; 33333333 -happy Dancing- What photo? What are you doing now?
14863,1553889011,on my way out with @dollabill07 gonna miss @TheRealMayaJ,Going out with @ dollabill07 will miss @therealmayaj
14727,1553830002,I wish my family would accept me like they do my brother.,I want my family to accept me as if they were doing my brother.
720741,2260982980,My cousin is making fun of my glasses.,My cousin laughs at my glasses.
231742,1979025354,http://tinyurl.com/ry9wap Good day! I cant upload more pics here for some reason  I like your profile info. Please respond me. I can e ...,http://tinyurl.com/ry9wap have a nice day! I cannot download more photos here for any reason I like your profile information. Please answer me. I can ...
1408085,2055635556,"@KJL912 oh okay, just checking. I can finally give you your invitation  lol","@ Kjl912 oh okay, I just check. I can finally give you your invitation lol"
568946,2207735707,@urOSTARSTRUCK one day you'll have time for me n well play(no pun intended) like we used to,"@Urostarstruck one day, you will have time for me and play well (without puns) as if we were used"
1068060,1965620025,Why I love freelancing: Remembered a movie I haven't watched. Logged in to Netflix. Watched it. Done. Back to work.,Why I like freelance: I remembered a film that I did not watch. Connected to Netflix. I watched. Fact. Back to work.
1594377,2192141572,@katelynpeace15 Have fun!,@ katelynpeace15 have fun!
427012,2063652653,@leydon  well I'm still moving it into the corridor so there's more yet! I have my monitor and stuff still to go and all my kitchen stuff,"@leydon well, I always move it in the corridor so there is even more! I have my instructor and my things again to go and all my cooking stuff"
812835,1548614887,Jacksonville knows how to party!! The show tonight was amazing!  Elvis was in the house   http://twitpic.com/3i648,Jacksonville can party !! The show tonight was incredible! Elvis was in the house http://twitpic.com/3i648
416871,2061402371,@fia_PWNS that sucks  'whoeverstoleit' is going to have a shitty life. that's for sure. i hate 'whoeverstoleit',"@fia_pwns who sucks 'whothestoleit' will have a shit life. that's for sure. I hate ""who is only"
650877,2237709387,"This is going to sound so geeky : dang my Stargate dialing simulator stopped working  I can't dial Atlantis, or anywhere for that matter!","It will seem if geek: Dang my numbering simulator Stargate has stopped working I cannot compose Atlantis, or anywhere else!"
399135,2057075034,Getting ready to leave  sad.,Prepare to leave sad.
1518687,2175989358,@cammercheanger : HEY CAM. !,@Cammercheanger: Hey Cam. !
195239,1970461671,"@xlovelydearx That's what I got told... oh well, does that mean I'm down a follower? lol ","@xlovelydearx is what I told me ... Well, does that mean that I am a follower? lol"
589703,2217077603,"@grrowl sadface=  i have the same predicament, only in 25hrs. major case of cbf.","@grrowl sadface = I have the same situation, only in 25 hours. Major case of CBF."
108787,1824380536,@iMartha182 I did my best,@ imartha182 I did my best
781141,2323341724,@anarbormike you guys didn't do acoustic for me,@anarbormike you didn't do acoustics for me
1250875,1996379016,Back home wondering what a my going to eat. Maybe some spanish food,"Back home, I wonder what I'm going to eat. Maybe Spanish food"
774276,2321464056,The oven is currently not working....(thanks Tuesday) so now we cannot make cookies.,The oven does not currently work ... (thank you Tuesday) so now we cannot do cookies.
1036669,1956388222,"@richardcau12 lol, you're a magic fan?? boooooo! lol ","@ Richardcau12 lol, are you a magic fan ?? Boooooo! lol"
70319,1693624708,P.S. I realize now that this song is embarrassingly mediocre.,P.S. I realize now that this song is embarrassing.
657422,2241025988,I hurt my right hip yesterday  but it got better! and then i wake up this morning and my right knee feels like it is filled with lava! :'(,I injured my right hip yesterday but it improved! And then I wake up this morning and my right knee has the impression of being filled with lava! : '(
667912,2245759625,@brandyfelicia we don't have popcornnnnn,@brandyfelicia we have no popcornnn
1502818,2071775151,@teambudd1 Your very welcome lol,@ teambudd1 your very welcome lol
221765,1976894187,Apparently I have to import Monrose...they aren't on itunes,"Apparently, I have to import monrose ... they are not on iTunes"
1581055,2190139783,"@my_montecillo im up!!! yeah i know, jj is sick since yesterday. and i want jubam for breakfast too!! hahahaha! ","@my_montecillo I am up !!! Yeah I know, JJ has been sick since yesterday. And I also want Jubam for breakfast !! Hahahaha!"
1141914,1977244259,"got a killer headache.. again... best thing to distract me are asylum vids  thanks, fellow minions, for sharing!","I have a killer headache .. again ... The best thing to distract me is asylum videos thank you, other henchmen, for sharing!"
296192,1997058269,trvsdjam mixtape didn't work.,The trvsdjam mixtape did not work.
1123027,1974429344,Woke up with the biggest smile on his face  lol,Woke up with the biggest smile on his face lol
1486141,2068020568,@cakey Howdy super katey!!! Hope you had crackin weekend!,@cakey Howdy Super Katey !!! I hope you spent the Crackin weekend!
1353073,2046637930,Posted a comment on the discussion - Someone else's face is next to my comments.  http://bit.ly/15xso8,Published a comment on the discussion - someone else's face is next to my comments. http://bit.ly/15xso8
1039108,1956770134,@coinoprobots amazing! Thank you for finishing the lyric. You a Amy fan?,@Coinoprobots incredible! Thank you for finishing the lyrics. Are you a fan of Amy?
1425322,2059031099,time for fudruckers  so excited,Time for so excited fudruckers
530109,2195791639,I feel awful training the new guy and poor Will is behind me listening.    I feel like a traitor.,I feel horrible to train the new guy and the poor will is behind me to listen. I feel like a traitor.
1465233,2064327450,Shopping with momma dukes then enjoying the sunshine,Shop with mom dukes then enjoy the sun
690603,2252053082,CrÃªpes!  Hope you feel better love,Crôpes! I hope you feel better love
764550,2298903540,@AmyB11569 I don't think I got ur email  I will check my spam folder when I get home...what is ur email address?,"@ Amyb11569 I don't think I received your email, I will check my spam file when I get home ... What is your email address?"
918242,1753618400,"just came back home from NE gig, another fun night skankin...what a workout! ","I have just returned home from Ne Gig, another funny Skankin night ... What training!"
622579,2229245218,how awful is the weather in Glasgow  boo situation! And i have Take That and The Saturdays in Hampden 2moro :O,What is the way the weather is horrible in the situation of Glasgow Boo! And I took this and Saturdays at Hampden 2Moro: o
128189,1834864462,Five days! Why???,Five days! Why???
1229376,1991363771,@danrubin It'll be multiple choice...,@danrubin it will be a multiple choice ...
1517869,2175896273,"Monday morning blues, but the TAM gathering is cool... ","Monday morning Blues, but the Tam gathering is cool ..."
734433,2264550277,settling down to watch the last Silverstone ever... It's the end of an era,Settling to look at the last silverstone of all time ... it's the end of an era
1464539,2064250267,So here is the lesson of the day: ride your bike with your mouth shut,So here is the lesson of the day: to close your bike with your mouth
1255575,1997311581,http://twitpic.com/6fky9 - I felt like doing one as well?!,http://twitpic.com/6fky9 - I wanted to make one too?!
313001,2001652793,i have pigeons in my loft!!! lol and 16 days = long time actually,I have pigeons in my loft !!! lol and 16 days = long in fact
1288673,2002513234,Amandas in denial!   but its a secret.,Amandas in denial! But it's a secret.
268462,1989410881,@twofourteen Me too. Most likely he's got something stuck between his nose and throat. He sounds like Kermit.,@twofouteen me too. It is very likely that he has something stuck between the nose and the throat. He looks like Kermit.
535011,2197758344,@stranger_danger me too  I have to wait until I can go to curry's to get my stuff. I am too lazy to go and spend money D:,@Stranger_Danger I also have to wait until I can go to Curry to get my things. I am too lazy to spend money D:
1401076,2054488022,@LatissaH Do you know KevinSpacey?  Or do you just like sending him tons of messages,@Latissah do you know Kevinspacey? Or just like to send him tons of messages
1523371,2176574327,@crazycolours You know I didn't even think of that... for once. And have you got a word of the day calendar or something...?,@crazycolours you know that I didn't even think about it ... for once. And do you have a day or something calendar ...?
888033,1687156101,"Is going to church. Later on, shopping for formal dance clothes and soccer stuff. :3 Yay. Shopping.  -.-","Go to church. Later, buy formal dance clothes and football stuff. : 3 yay. Shopping. -.-"
818863,1553210075,@midsomerlover I agree,@Midsomerlover I agree
